// vid	name	description
c191_00	Reina_Kubodzuka	The outfit Sekhmet wears exclusively for her part-time job.
c191_01	Destructive_Sekhmet	Sekhmet's casual clothes.
c191_02	Furious_Sekhmet	Sekhmet's combat suit...which looks a lot like casual clothes.
c193_00	Exorcist-in-Training_Virupa	
c194_00	Reika_Kuroki	A dress with puffy sleeves that feels like wearing a cloud.
c194_01	White_Ashtoreth	Ashtoreth's white dress, designed to make her bramble blades stand out.
c194_02	Pure White_Ashtoreth	Ashtoreth's pure-white battle dress, replete with flared-out frills.
c195_00	Claire_Shishihara	A little lost lion and a crying young maiden\are the most beautiful creatures in the world.
c195_01	Little Princess_Cybele	Please don't wake the sleeping maiden and her lion.
c195_02	Dark Princess_Cybele	Wear this, and you too can be a renowned lion tamer!
c195_20	Claire_Shishihara	The little lost lion and miserable young maiden are the cutest things in the world.
c196_00	Yukimi_Shiratori	I really go for the neat and clean types...
c196_01	Floral_Idun	Sweet apples. The forbidden fruit.
c196_02	Alluring_Idun	A dress made just for beautiful Idun.
c198_00	Nao_Nara	Casual wear designed to hide your darkest thoughts.
c198_01	Silent_Zelos	She makes the disheveled look feel almost elegant. And dangerous...
c198_02	Turncoat_Zelos	Zelos's combat suit. No, she didn't forget to button them.
c199_00	Hikaru_Nijihara	A plain country girl with stars in her eyes...and over her head.
c199_01	Western_Aurora	A costume for Aurora, who shines like a star.
c199_02	Benevolent_Aurora	A costume for Aurora, who burns bright like a newly formed star.
c200_00	Masami_Kajihara	Casual clothes for the brilliant detective.
c200_01	Running_Seshat	A combat suit for Seshat, the brilliant detective.
c200_02	Fixer_Seshat	A combat suit for Seshat, the brilliant detective of the Infernal Realm.
c202_00	Shoko_Shoji	If I could have every demon's attention! Please be wary of the girl in the strange dress!
c202_01	Mirror_Victorix	It looks white to you? Really?
c202_02	Green_Victorix	It looks blue to you? You might want to get your eyes checked...
c205_00	Yu_Yuki	The only friends the crybaby young boy had were through video games...
c205_01	Otherworldly_Merlin	You got Merlin's combat suit!
c205_02	Visitor_Merlin	You got the legendary sorcerer Merlin's combat suit!
c208_00	Kyosuke_Kaga	An everyday combat suit for the hot-blooded young man.
c208_01	Hot_Firo	A combat suit for Firo, man of action.
c208_02	Fiery_Firo	A fully-armored combat suit for Firo, the man who burns with passion.
c209_00	Fumika_Fuwa	A literate young girl who dreams of being a librarian.
c209_01	Dreaming_Hecate	A combat suit for Hecate, the witch with big dreams.
c209_02	Delusional_Hecate	A combat suit for Hecate, the witch with grand delusions.
c210_00	Sumire_Koh	Now I know what I want to be when I grow up, thanks to a fantasy novel I read.
c210_01	Abyssal_Tartarus	Tartarus's armor, bestowed upon her from the abyss.
c210_02	Emperor_Tartarus	Armor of Tartarus, the emperor who imparts orders to the Infernal Realm.
c214_00	Masajuro_Hoshizaki	There are two things you need to be a good cleaner: undying passion, and a silk hat.
c214_01	Experimental_Jupiter	There are two things you need to be a proper gentleman: a stylish suit, and a briefcase full of secrets.
c214_02	Dominating_Jupiter	There are two things you need to be a proper gentleman: an old-fashioned silk hat, and a case full of secrets.
c214_10	Gambler_Jupiter	The secrets to her unbroken winning streak are hidden inside this dangerous case.
c215_00	Immature_Surtr	A poncho handmade by Surtr, who hails from the South.
c216_00	Mayo_Ogata	Werewolf's pactmaker, a top circus star.
c216_01	Moonlight_Werewolf	A wolf that sinks into the shadows.
c216_02	Samhain_Werewolf	Werewolf came to visit on a night when she awakened to her animalistic nature.
c220_00	Mutsumi_Mugikura	You're always alone on the court!
c220_01	Zooming_Atropos	Battle uniform for Atropos, who always runs straight toward victory.
c220_02	Charging_Atropos	Battle uniform for Atropos, who always charges ahead in her effort to be the best.
c221_00	Kii_Yanagawa	Don't worry. It's not MY blood...
c221_01	Full Moon_Jana	My imagination has come true! Jana's combat suit, created by the imagination of a sophomore high school girl.
c221_02	Full Bloom_Jana	A costume for Jana, the swordswoman. The black butterflies represent the god of pestilence...
c222_00	Kaya_Kanebuchi	I always go out of my way for name brands, whether or not they look good on me.
c222_01	Hypnotic_El Dorado	A costume that is 49.9% gold, made just for El Dorado.
c222_02	Golden_El Dorado	A costume that is 99.9% gold, made just for El Dorado. Only those who are worthy can wear it.
c224_01	Dark Prince_Loki	A combat suit for Loki, the dark prince. He always keeps his cards, and his conspiracies, close to his chest.
c225_00	Part-Timer_Rudolph	The (secret) outfit he wears for his Christmas job.
c225_01	Uninvited_Rudolph	Rudolph the runaway's working clothes. Those aren't presents he's got in that bag.
c225_02	Night Thief_Rudolph	Thieving Rudolph's working clothes. His new wings mean he can't carry as much as before.
c226_01	Plundering_Ragnar	Ragnar's standard outfit.
c227_00	Mai_Domeki	As long as I have Dad's police uniform and nightstick, I'm not afraid of anything.
c227_01	Righteous_Mafdet	Mafdet's combat suit. Even if you've done nothing wrong, her withering gaze is enough to make you sweat.
c227_02	Dogmatic_Mafdet	Mafdet's combat suit. Losing the sunglasses improves her accuracy rate.
c229_00	_Barry	Mice hear everything you have to say at night. And also during the day.
c229_01	Info Broker_Brownie	Sailor uniform for Brownie, resident info broker.
c229_02	Delivery Girl_Brownie	A special sailor uniform for Brownie, deliveryperson.
c230_00	Eiko_Utsugi	Young girls' sailor uniforms contain the key to destroying the universe...
c230_01	Cursed_Skuld	Skuld's combat suit, cursed by destiny.
c230_02	Extinct_Skuld	Skuld's combat suit, now with 100% more visibility.
c232_00	Kanon_Kameike	There's no keeping this beautiful pop star's good looks hidden under a hat.
c232_01	Fantasy_Daphne	In a faraway utopia, this outfit is all the rage.
c232_02	Utopian_Daphne	Eyewitness: Goddess wearing a white dress in a utopia...
c233_00	Azusa_Aoi	The proper beachside outfit.
c233_01	Lightning_Arges	Arges's combat suit. I-It's no use looking at me like that!
c233_02	Corona_Arges	Arges's wet combat suit. Wait, why are they wet?
c234_00	Goro_Godai	Hey, it's a demon! Or maybe not?
c234_01	Militant_Hercules	A combat suit of Hercules, ancient warrior.
c234_02	Triumphant_Hercules	A combat suit of Hercules, warrior of Sparta.
c235_00	Tomoka_Togashi	Casual wear for the detective with inhuman strength.
c235_01	Explosive_Danu	Costume for the self-centered Danu. Keep your hands to yourself if you don't want to get burned.
c235_02	Antihero_Danu	Costume for Danu, the unconventional warrior.
c237_00	Mortal Realm_Typhon	
c237_01	Night Festival_Typhon	Standard attire for Typhon the demon.
c237_02	Samhain_Typhon	
c238_00	_Medb	A casual-style disguise for Medb, designed to help her move about the Mortal Realm.
c238_01	Harmony_Medb	A costume for Medb, stuffed to the frills with all the adorableness of a Halloween pop star.
c238_02	Prima_Medb	A costume for Medb, filled with the playfulness of a group of trick or treaters.
c238_10	Samhain_Medb	The star of Halloween is here to celebrate every demon's favorite holiday ♪
c242_00	Mortal Realm_Ailill	The demon Allyl, disguised as a young human girl.
c242_01	Magician_Ailill	The liar Ailill's magician outfit.
c242_02	Parade_Ailill	Halloween cheer squad Ailill's parade outfit.
c246_00	_Christmas Fairy	A Christmas fairy who appeared out of nowhere one Christmas day.
c246_01	Deceptive_Krampus	Put on this hat, and you too can be Santa!
c246_02	False_Krampus	Krampus's true form. Being tricked doesn't seem so bad now, right?
c246_10	Nightmare_Krampus	Merry Christmas, and a happy nightmare!
c246_11	Naughty_Krampus	A Christmas demon who came to destroy everything good about Christmas!
c246_88	Nightmare_Krampus	Merry Christmas, and a happy nightmare!
c246_89	Naughty_Krampus	A Christmas demon who came to destroy everything good about Christmas!
c247_00	Miriya_Misaki	Myrina's pactmaker, looking stylish in her sailor blouse and tennis skirt.
c247_01	Glorious_Myrina	Myrina's full, glorious royal dress.
c247_02	Autocratic_Myrina	Myrina's full formal dress, befitting a dignified ruler.
c251_01	Hermit_Ganymede	Ganymede's basic combat uniform.
c253_01	Holy_Nicole	Nicole's Christmas work clothes. Presents are selected at random.
c253_02	Saint_Nicole	Christmas work clothes for delivering presents.\Each and every one's a winner!
c253_10	Christmas Eve_Nicole	Battle outfit of Nicole, who arrived on Christmas Eve as a messenger of God.
c253_89	Christmas Eve_Nicole	What is it? Do you want a present? Hmm, what to do?\The only present I have for demons is the whip of love.
c254_01	_Davi	0
c254_02	_Nameless Child	
c255_01	Prologue_Mona	0
c256_01	_Lisa	0
c257_01	Colony Leader_Carlos	You discovered Carlos's outfit in a basement beneath even the Infernal Realm itself.
c257_02	Colony Leader_Carlos	A traditional robe of Carlos's. The secrets of its creation are known only in the Infernal Realm.
c258_01	Imaginative_Pixie	A winged outfit for pixies born from imagination.
c258_02	Ideal_Pixie	A winged outfit for pixies born from ideals.
c262_00	Kitagawa_Midori	Daphnis's blazer and enamel shoes.
c262_01	Knight_Daphnis	Possessing a determined heart, she rises up to protect the one she loves.\The very image of a Greek heroine.
c262_02	Brave_Daphnis	A brave knight advances toward the enemy to protect her precious bonds.
c262_88	Brave_Daphnis	
c266_00	_Horus	The demon Horus, disguised as a human.
c266_01	Desert_Horus	An outfit just for Horus, who fears neither heat nor sun.
c266_02	Ra_Horus	A combat suit for Horus patterned after the sun god.
c267_00	Queen of the Nile_Cleopatra	Cleopatra herself, who ruled all of Egypt long ago.
c267_01	Transmigration_Cleopatra	An outfit for Cleopatra that takes Horus's tastes into account.
c267_02	Pharaoh_Cleopatra	A pharaoh's outfit that symbolizes Cleopatra's authority.
c267_10	Sun_Cleopatra	Cleopatra enjoying the protection of the obelisks.
c267_89	Sun_Cleopatra	Cleopatra enjoying the protection of the obelisks.
c269_01	Chaotic_Pixie	A winged outfit for pixies born from chaos.
c269_02	Cosmos_Pixie	A winged outfit for pixies born from space.
c270_01	Light_Pixie	A winged outfit for pixies born from light.
c270_02	Platinum_Pixie	A winged outfit for pixies born from brilliant light.
c271_01	Silent_Pixie	A winged outfit for pixies born from silence.
c271_02	Sapphire_Pixie	A winged outfit for pixies born from sapphire.
c272_01	Sprout_Pixie	A winged outfit for pixies born from newly-budded leaves.
c272_02	Verdure_Pixie	A winged outfit for pixies born from verdant greenery.
c274_00	_Bast	A going-out outfit for the outgoing Bast!
c274_01	Singing_Bast	A costume made for Bast by tracing her hazy cat memories.
c274_02	Howling_Bast	An outfit for Bast imitating Cleopatra.
c277_00	_Leuce	Casual wear for Leuce, who just wants to get away from it all.
c277_01	Lowly Nymph_Leuce	Leuce's official Working Adult uniform.
c277_02	Partner_Leuce	Leuce's uniform after being subjected to the harsh realities of society.
c280_01	Innocent_Tyche	Let's play together!
c280_02	Dreaming_Tyche	Let's explore dreams together!
c281_00	Sonoda_Hikari	Searching for paradise with a sun that's mine alone...
c281_01	Runaway_Thisbe	The sadness of a girl hidden by a black hood.
c281_02	Labyrinth_Thisbe	The flowers that bloom in paradise surely bloom more beautifully than these.
c283_00	Chikako_Nagihara	The uniform for the staff at Café de Petit.
c283_01	Maid_Morgan	A maid uniform that Verdelet had custom-"maid" for Morgan.
c283_02	Servant_Morgan	An exclusive maid outfit for Morgan that shines brightest when next to Verdelet.
c283_10	Loyal Keeper_Morgan	A combat suit for Morgan, who serves but one master.
c283_12	Classic Servant_Morgan	A combat suit for loyal Morgan,\the monochromatic servant.
c283_89	Loyal Keeper_Morgan	A combat suit for Morgan, who serves but one master.
c285_02	Battlefield Goddess_Natalis	
c286_00	_Verdelet	The owner of maid café Café de Petit.
c286_01	Waiting_Verdelet	Verdelet's pristine suit.
c286_02	Butler_Verdelet	A combat suit for Verdelet,\your supremely capable aide.
c287_00	Futaba_Hikaru	Promising modern dance trainee\outfitted with training attire.
c287_01	Dancer_Salome	Dancer Salome's outfit, so dazzlingly beautiful, it's almost blinding.
c287_02	Leaping_Salome	Dancer Salome's outfit, leading souls into temptation.
c287_88	Leaping_Salome	Dancer Salome's outfit, leading souls into temptation.
c287_89	Dancer_Salome	Dancer Salome's outfit, so dazzlingly beautiful, it's almost blinding.
c289_00	_Durandal	His form in the Mortal Realm, patterned after Rufus.
c289_01	Illusory_Durandal	A combat suit for Durandal, who always maintains his dignity, no matter what.
c289_02	Nightmare_Durandal	An ash-colored combat suit that draws out Durandal's power to its utmost.
c289_10	Mighty Blade_Durandal	A combat suit for Durandal, who strikes terror into demons.
c290_00	Mortal Realm_Brigid	Brigid after converting to child form in order to conserve her magic.
c290_01	Glamorous_Brigid	A scarlet rose that blooms in the Infernal Realm.\Brigid's rose dress in deep crimson.
c290_02	Scarlet_Brigid	A blood-red rose that blooms with pleasure.\Brigid's ball gown that blooms with beauty.
c292_00	_Luin	"Have at you!" The bamboo sword and armor Luin uses at kendo.
c292_01	Blind Faith_Luin	This calm silhouette is so dark it resembles a shadow.
c292_02	Spear of Vengeance_Luin	The drooping red silk is proof of Luin's undying loyalty.
c294_00	Hanazono_Sayoko	A typical class president who always upholds the school rules, no matter how strict.
c294_01	Lady_Bathory	A gothic dress for Bathory, overflowing with elegance.
c294_02	Bloody_Bathory	Formal wear for Bathory, as dark as the night itself.
c295_00	Asagiri_Theresa	The blazer of the Saint Michael's School for Girls uniform really suits her.
c295_01	Dreaming_Unknown	Unknown after falling into an endless sleep.\What kind of dreams might she be seeing?
c295_02	Silent_Unknown	Unknown flashing a smile.\She might just wake up sooner than you think...
c296_00	Rei_Kurashiki	The case contains an anti-materiel rifle... I mean, an ordinary cello.
c296_01	Gunslinger_Hildr	Hildr's maid outfit. Goes wonderfully with her anti-materiel rifles.
c296_02	Sniper_Hildr	All ready for battle! Will she be taking aim at you?
c299_00	_Santa Claus	Santa's part-time job costume. Offers presents in exchange for souls.
c299_01	Memorable_Santa Claus	Why is Santa dressed in blue, you ask? It's not like he can ONLY wear red, you know.
c299_02	Satan_Santa Claus	Santa Claus dressed all in black. Instead of presents, he hands out nightmares! Yay!
c300_01	Beloved_Pietas	Clothes make the soldier. A combat maid outfit for the veteran problem solver.
c300_02	Devoted_Pietas	A true professional always keeps their apron pristine!
c301_01	Indomitable_Jacheongbi	Jacheongbi the warrior's old-fashioned firearms.
c301_02	Revolutionary_Jacheongbi	Jacheongbi the warrior's state-of-the-art firearms.
c302_00	Kuroi_Akira	
c302_01	Dark Night_Atum	
c305_01	Guiding_Rita	Rita's baptism outfit.\Its bell-line skirt is modeled after church bells.
c305_02	Dark Saint_Rita	The dark baptismal Rita has no fear\of the evil fang approaching in silence.
c305_10	Paradise Exiled_Rita	There can be no return—only dreams\of eternal utopia's blissful scent.
c305_89	Paradise Exiled_Rita	There can be no return—only dreams\of eternal utopia's blissful scent.
c308_00	Mortal Realm_Kubaba	Jet black suit of Kubaba, chairperson of the Saint Michael's School for Girls.
c308_01	Rider_Kubaba	Kubaba, hardened by more battles than she cares to count, and her favorite motorcycle.
c308_02	Revenge_Kubaba	Speed it up!\Anyone who can't keep up gets left behind!
c308_10	High Speed_Kubaba	Kubaba, burning with a need for vengeance, and her roaring motorcycle.
c310_00	Takanashi_Kana	Stepped in a puddle? No problem!\Bes has got her pactmaker's raincoat and boots.
c310_01	Spring_Bes	Bes on her soft cushion, her heart ever in a dream.
c310_02	Blossom_Bes	Bes on her fluffy cushion, surrounded by spring flowers.
c311_00	_Khepri	Khepri's miniskirt, distinguished by its high-contrast black and white pattern.
c311_01	Dark Luster_Khepri	Khepri's full-body suit. Its primary colors represent darkness and light.
c311_02	Vicious_Khepri	Vicious Khepri's final form.
c311_89	Vicious_Khepri	Vicious Khepri's final form.
c312_00	Ichigo_Ihara	A timid high school girl studying to become a patissiere.
c312_01	Cynical_Tyrving	A knife used solely for cutting Tyrving's whipped cream cakes.
c312_02	Cursed Sword_Tyrving	A knife used solely for cutting Tyrving's strawberry cream cakes.
c314_01	Debut_Mona	0
c315_01	Alchemist_Methuselah	
c315_02	Seeker_Methuselah	Methuselah's travel coat.
c316_00	Mortal Realm_Wodan	The demon Wodan, disguised as a young human girl.
c316_01	Alchemist_Wodan	The outfit of Wodan, head of the Rebirth Lab,\who can change Childs and demons into their desired forms.
c316_02	Seeker_Wodan	The outfit of the alchemist Wodan, who is ever in pursuit of transcendental beauty.
c317_00	Father_Babila	Striking abbey vestment in stark contrast to a most calm disposition.
c317_01	Hypocrite_Babel	A dark soul concealed behind a gentle smile.
c317_02	False Prophet_Babel	A pearl-gray uniform unfitting a soul so dark.
c318_01	Praying_Bari	A traditional costume for Bari to say her prayers.
c318_02	Prayer_Bari	A traditional costume for Bari as she lets destiny guide her.
c318_10	Equinoctial_Bari	A costume for Bari, who was guided by the voices of the dead through an impassable door.
c318_11	Banshee_Bari	Can you hear them?\Can you hear the cries of the dead right behind you...?
c318_89	Equinoctial_Bari	A costume for Bari, who was guided by the voices of the dead\through a door impassable to the living.
c319_00	_Willow Doryeong	My hometown is not some village,\but the Infernal Realm.
c319_01	Reincarnated_Willow Doryeong	A blue kimono for Willow Doryeong as he repeats life and death.
c319_02	Guardian_Willow Doryeong	A blue kimono for Willow Doryeong as he guards the Hades Flower.
c321_01	Crescent_Luna	A special pearl-colored dress and pumps just for Luna.
c321_02	Full Moon_Luna	A special dress for Luna\with a dark-red lace shawl.
c324_01	Newbie_Mona	A fresh outfit worn by Mona in the field during the start of her aide career.
c324_02	Rookie_Mona	A lovely outfit worn by Mona in the field during the start of her aide career.
c324_21	Hurt_Mona	Mona Costume
c332_01	Maverick_Ganesha	Cha-CHING!\The official exorcist garb Ganesha dons when off chasing tales of riches.
c332_02	Nandikesvara_Ganesha	The exorcist garb of an overjoyed Ganesha.\Still an official exorcist outfit, surprisingly enough.
c336_01	Field_Pan	A spring-colored dress for Pan, who watches the field.
c336_02	Farm Sheep_Pan	A glimmering, silver dress full of spring flowers.
c336_89	Field_Pan	For the sake of peace, I will protect you.
c338_01	Pure White_Pomona	Pomona's pure white dress that's like a sweetly blooming flower.
c338_02	Pure Bride_Pomona	Pomona's pure white dress that's like a gorgeous flower in bloom.
c339_01	Love & Hate_Davi	Another Davi. She bears a heart hateful of Mona.
c339_02	Ambivalence_Davi	Another Davi. She sports Mona's favorite color.
c344_01	White Hands_Isolde	Isolde's sailor-style three-piece bikini,\the star of this summer's scandal.
c344_02	Nova_Isolde	Lock-on to a sizzling summer!\A summer bikini for Isolde, aiming straight for your heart.
c344_10	Summer Spike_Isolde	Think you can handle this?!\Prepare for Isolde's challenge: the final spike!
c344_89	Summer Spike_Isolde	Think you can handle this?!\Prepare for Isolde's challenge: the final spike!
c345_01	Midsummer_Anemone	The cutting edge of both swimsuit fashion and protection against UV rays.
c345_02	Gambler_Anemone	A luxurious lace bikini for Anemone.
c345_10	Sunrise_Anemone	Anemone's fighting swimsuit, the hottest thing on the summer beach.
c346_01	Blocking_Tristan	Tristan after bulking up 400% due to the side effects of the Alter Ade.
c346_02	Solitary_Tristan	Tristan, all ready for summer vacation.\There's something about this form that seems to sap away motivation.
c347_01	Prophet_Dana	The garments of a goddess manifested while yet a prophet.
c347_02	Second Advent_Dana	The garments of a goddess who has once again descended upon us.
c348_00	Trainee_Mars♥	Mars♥'s trainee outfit.
c348_01	Pretty_Mars♥	Don't forget to practice too!\Getting closer to being the ideal pop star every single day!
c348_02	Sweet Devi_Mars♥	Eternally the center of attention!\Catch the fans' eyes with a captivating performance!
c348_10	Sweet Love_Mars♥	Giving you some sweet, sweet loving♥\Mars♥'s special concert attire.
c349_00	Trainee_Saturn♥	Saturn♥'s trainee outfit.
c349_01	Mysterious_Saturn♥	Newly reborn as a pop star and showing off already!
c349_02	Starlight_Saturn♥	Shining brighter than anyone else at the concert, just for Maestro!
c350_00	Trainee_Neptune♥	Neptune♥'s trainee outfit.
c350_01	Hard Worker_Neptune♥	Master! I'm a pop star now! Watch me go!
c350_02	Pure Smile_Neptune♥	I'll put my heart and soul into this song. I wonder if the master will hear it?
c351_00	Trainee_Venus♥	Venus♥'s trainee outfit.
c351_01	Naive_Venus♥	I love to have fun!\Watch my innocent performance!
c351_02	Heavenly Flower_Venus♥	Here comes the prodigy pop star!\Don't take your eyes off my glamorous performance!
c352_00	Producer_Maestro	Maestro's business suit as a humble producer.
c353_00	Yoko_Tsukasa	Charlotte's ordinary,\gullible pactmaker.
c353_01	_Charlotte	A costume for Charlotte, a knight whose loyalty knows no bounds.
c353_02	Glorious_Charlotte	A costume for Charlotte, a knight descended from azure skies.
c354_01	Needfire_Demeter	Demeter's combat suit imbued with a purifying flame.
c354_02	Crimson_Demeter	Demeter's combat suit red with a raging fire.
c354_10	Mad Nurse_Demeter	A mad nurse's combat suit created from ill will.
c354_89	Crimson_Demeter	Demeter's combat suit red with a raging fire.
c355_01	Guardian_Chang'e	A new, motherly form for Chang'e, who protects the hot springs town together with Mei.
c355_02	Inugami_Chang'e	An evolved form for Guardian Chang'e, who fights alongside a lion-dog and Wukong.
c358_01	_HATSUNE MIKU	A stage outfit for a virtual singer. Her songs can even soothe the hearts of demons!
c358_02	Diva_HATSUNE MIKU	A stage outfit for a virtual singer. Listen as her heavenly voice resounds across the world!
c359_01	_SNOW MIKU	A shrine maiden outfit reminiscent of a red-crested white crane. Strikes a dignified and beautiful figure.
c359_02	Snow Priestess_SNOW MIKU	A shrine maiden outfit reminiscent of a red-crested white crane. Her dancing brings peace of mind to those fortunate enough to witness it.
c360_01	Liberated_Maat	A refined combat suit for Maat, who has broken free from the chains that bind her.
c360_02	Descended_Maat	A holy combat suit for Maat, a god newly descended upon this realm.
c360_10	Chasm_Maat	Maat's final destination after her long search for truth.\See for yourself how far down the abyss goes...
c363_01	Phantom Thief_Lupin	
c363_02	Mood Maker_Lupin	
c364_01	Sweet_Sytry	A miniskirt as white as a young maiden's pure love.
c364_02	Lovey-Dovey_Sytry	The white represents a young maiden's pure love, and the red her passionate love.
c365_01	Dark Buster_Lisa	Dark Buster Unit No. 1, Lisa.\A weapon designed to take out the Archfiend himself.
c365_02	Devil Buster_Lisa	Devil Buster Unit No. 1, Lisa.\A weapon designed to take out the Archfiend himself.
c366_01	Hard Worker_Deino	Where there's a will, there's a way!\Hard work DOES pay off!
c366_02	Hopeful_Deino	A combat suit for Deino, a disaster prevention Child.\Leave all fire hazards to her!
c367_01	Archfiend_Davi	The Archfiend's look as imagined in Davi's hopes and dreams!
c367_02	True Archfiend_Davi	I awakened to my power as the true Archfiend!\After all, there's no Archfiend more powerful than the one I thought up.
c367_88	True Archfiend_Davi	
c367_89	Archfiend_Davi	
c369_00	_Old Lady	
c370_01	Sunbeach_Mona	A vivacious summer swimsuit for Mona.
c370_02	Diver_Mona	A blazing summer, dazzling skin, and precious memories.
c370_10	Hot Pink_Mona	Won't you go diving with me?\A pink summer swimsuit that's hotter than summer.
c370_89	Sunbeach_Mona	
c371_01	Bikini_Lisa	A bold two-piece bikini for Lisa. Ushering in an exhilarating summer.
c371_02	Vacation_Lisa	A cool, sea blue swimsuit. This will be a summer to remember.
c371_10	Wetsuit_Lisa	Lisa's dazzlingly white wetsuit. Except she doesn't use it to go diving.
c372_01	School Swimsuit_Davi	Works fine with every kind of pose!\Davi's summer-only swimsuit.
c372_02	Summer_Davi	True summer's only just beginning!\My summer's only just beginning!
c372_10	Sports Bikini_Davi	Let's play beach volleyball!\A sporty swimsuit for Davi.
c373_01	Ruffian_Midas	A new and improved Midas, powered up by a renewed pact.\He looks like a different person!
c373_02	Black-Winged Messenger_Midas	Void and peace... Be wrapped in vision and dream!\A costume for the Black-Winged Messenger Midas.
c374_01	Bridal_Hildr	A white wedding dress Hildr, who became a bride,\will show only to the person she loves.
c374_02	Pure Bride_Hildr	Marriage is an eternal vow of love.\I'll mess up anyone who dares to break it!
c377_00	Mortal Realm_Iphis	Iphis's form in the Mortal Realm.
c377_01	Romantic_Iphis	Iphis's formal attire to accept her bride.
c377_02	Scarlet_Iphis	Iphis's scarlet battle uniform, used when protecting her bride.
c377_10	Bridal_Iphis	Iphis when she herself became a pure bride.
c377_11	Shadow_Iphis	Iphis donning a wedding dress\tainted black by darkness.
c377_89	Bridal_Iphis	I've finally found love. It may not be easy, but I'll never let go.
c378_00	Katsuragi_Touka	A girl who is anxious about meeting her mother again after her parents divorced.
c378_01	_Pallas	Battle armor of Pallas, who desires desperation and destruction.
c378_02	Darkness Clad_Pallas	Battle armor of Pallas, imbued with the darkness of the black spear.
c379_01	_Athena	Battle armor of Athena, who protects all with a great shield.
c379_02	Benign Devotion_Athena	Battle armor of Athena, who becomes a shield of sincere and blameless intent.
c381_01	Fluttering_Sytry	Sytry's titillating bikini look.
c381_02	Summer Love_Sytry	Summer means beach!\Beach means swimsu—I mean, love!
c382_01	Catgirl_Neamhain	An outfit that exudes Frej's magic power from every inch of it.
c382_02	Battle Kitty_Neamhain	An outfit for a bloodthirsty, moody person.
c383_01	Resurrected_Frej	A costume designed to withstand Frej's newfound magic power.
c383_02	Unleashed_Frej	Frej's become even more powerful,\though it doesn't seem like he's realized it himself.
c383_11	Cursed Doll_Frej	What happened to Frej's sexy body?
c384_01	Prototype_Narvi	Prototype form of the android Narvi.
c384_02	Customized_Narvi	Customized form of the android Narvi.
c385_01	_Marie Rose	A punk-ish outfit for Marie where the mis-matching is part of the charm.
c385_02	Battlesuit_Marie Rose	Marie's combat suit. The perfect combination of functionality and fashion.
c385_10	Swimsuit_Marie Rose	An old-fashioned school swimsuit that complements Marie wonderfully.
c385_11	Russian Blue_Marie Rose	A cool-blue swimsuit for Marie adorned with white polka dots.
c385_12	Minuet_Marie Rose	A cute pink and white swimsuit for Marie.
c386_01	_Kasumi	Kasumi's ninja outfit. Designed for mobility first and foremost,\only the leader of the clan is permitted to wear it.
c386_02	Immaculate White_Kasumi	Kasumi's ninja outfit. The wearer must ensure it stays pristine white,\no matter how fierce a kumite she may be engaged in.
c386_10	Geranium_Kasumi	A cherry blossom-colored swimsuit for Kasumi that leaves little to the imagination.
c386_11	Nemophila_Kasumi	A cute swimsuit for Kasumi that wraps\a pale white mist around a vivid sky blue.
c386_12	Margarita_Kasumi	An ostentatious swimsuit for Kasumi that glitters as brightly as the sun.
c386_13		
c386_88	_Kasumi？	Is she truly Kasumi? Or is she…
c387_01	_Honoka	A blazer required by Honoka's school.
c387_02	Casual_Honoka	Honoka's school uniform, with jacket removed to lighten the load.
c387_10	Moo-Moo Denim_Honoka	A swimsuit for Honoka that gently cradles everyone's dreams.
c387_11	Delphinium_Honoka	A lovely pale blue swimsuit for Honoka.
c390_01	Witch_Eochaid	What could be hiding inside the pumpkin?
c390_02	Death March_Eochaid	Magic is illusion! Tricks are fun!\Did you enjoy Eochaid's magic show?
c390_88	Death March_Eochaid	
c391_01	Party Star_Medb	Pajamas that unleash maximum magic power.
c391_02	Party Night_Medb	The festive outfit Medb wears as she enjoys All Hallows' Eve.
c392_01	Altered_Davi	A new Davi born from a mysterious cocoon.
c392_02	Neo_Davi	A new Davi who faced emptiness and spreads wings of deepest black.
c392_10	Dark Tears_Davi	Davi, shedding black tears as she grieves.\Will the words of Mona, her utmost love, reach her?
c392_89	Altered_Davi	A new Davi born from a mysterious cocoon.
c393_01	Lightbeam_Mona	A dress shining with a light that leads Mona towards a new future.
c393_02	Heavenly Ray_Mona	A spectacular dress that won't lose its light even in the midst of despair.
c393_10	Radiant_Mona	Mona's past form that shines on, even in the harsh environs of the Infernal Realm.
c394_01	Courtesan_Bathory	A stylish, gorgeous kimono worn by courtesans.\Bathory only seems to think it's a nice dress.
c394_02	Supreme Courtesan_Bathory	Only those who possess great beauty as well as the poise and skills of geisha\are called Supreme Courtesan. This is Bathory at her most exquisite.
c395_01	Mysterious Student_Eve	Uniform for a famous private high school made through imitation.
c395_02	Pink Blazer_Eve	A blazer that looks perfect on Eve.
c396_01	Dancing Maiden_Werewolf	Werewolf took the form of a shrine maiden in order to grant a young man's wish. The shrine maiden outfit is filled with the holy power of Toshigami, the god of the new year.
c396_02	Oracle_Werewolf	Werewolf has refined her skills as a shrine maiden.\Positively dripping with good fortune, she is now even more powerful!
c397_01	Christmas_Leda	Leda put on a Santa suit\to give everyone presents.
c397_02	Sexy Santa_Leda	Leda's Santa suit, but sexier!\It's a present in and of itself.
c400_01	Grieving_Banshee	
